City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,lorengau,-2.0226,147.2712,29.37,69,34,3.56,PG,1679894667
124,lagoa,39.05,-27.9833,14.68,80,1,14.57,PT,1679894667
125,fayaoue,-20.65,166.5333,27.26,75,35,0.37,NC,1679894668
126,cidreira,-30.1811,-50.2056,20.04,80,1,3.84,BR,1679894669
127,seddon,-37.8068,144.8916,18.75,87,75,6.69,AU,1679894669
128,ovalle,-30.5983,-71.2003,19.83,71,0,0.9,CL,1679894670
129,yabrud,33.9674,36.6574,8.09,58,34,0.22,SY,1679894670
130,laguna,38.421,-121.4238,8.03,54,0,0.0,US,1679894671
131,saskylakh,71.9167,114.0833,-16.95,93,100,6.7,RU,1679894671
132,severnoye,56.3491,78.3619,2.05,98,100,3.69,RU,1679894672
133,skjervoy,70.0311,20.9714,-12.0,65,99,2.08,NO,1679894533
134,tuatapere,-46.1333,167.6833,16.2,62,64,4.01,NZ,1679894673
135,sambava,-14.2667,50.1667,25.92,78,27,2.49,MG,1679894673
136,bonavista,48.6499,-53.1147,-1.17,91,100,7.69,CA,1679894674
137,bengkulu,-3.8004,102.2655,28.97,65,97,2.38,ID,1679894675
138,roebourne,-20.7833,117.1333,31.67,56,98,5.03,AU,1679894675
139,norman wells,65.282,-126.8329,-8.98,62,20,2.57,CA,1679894676
140,sueyoshi,31.65,131.0167,18.54,40,47,2.76,JP,1679894677
141,beloha,-25.1667,45.05,25.32,79,12,5.28,MG,1679894678
142,sal rei,16.1833,-22.9167,21.22,79,96,5.65,CV,1679894678
143,alta floresta,-9.8756,-56.0861,20.94,98,42,0.65,BR,1679894679
144,kaoma,-14.7833,24.8,16.92,89,81,1.22,ZM,1679894680
145,kamaishi,39.2667,141.8833,9.59,51,32,3.42,JP,1679894681
146,cabo san lucas,22.8909,-109.9124,21.4,40,97,3.69,MX,1679894681
147,sitka,57.0531,-135.33,2.94,60,0,3.09,US,1679894682
148,osoyoos,49.0331,-119.4524,7.23,45,77,2.06,CA,1679894682
149,cape town,-33.9258,18.4232,16.88,78,0,1.34,ZA,1679894569
150,inongo,-1.95,18.2667,21.72,91,98,0.51,CD,1679894683
151,iracoubo,5.4802,-53.2011,24.88,81,45,3.58,GF,1679894684
152,oudtshoorn,-33.5907,22.2014,8.2,77,27,1.82,ZA,1679894684
153,harper,4.375,-7.7169,25.96,88,86,1.9,LR,1679894684
154,emerald,-23.5333,148.1667,32.41,45,1,2.98,AU,1679894646
155,jaque,7.5175,-78.1703,25.38,85,14,1.23,PA,1679894685
156,touros,-5.1989,-35.4608,24.69,90,100,3.67,BR,1679894686
157,faanui,-16.4833,-151.75,27.85,73,44,4.46,PF,1679894686
158,hasaki,35.7333,140.8333,15.68,65,100,7.39,JP,1679894686
159,chokurdakh,70.6333,147.9167,-16.46,92,34,3.5,RU,1679894757
160,tikrit,34.6071,43.6782,16.02,84,98,5.59,IQ,1679894757
161,ziro,27.6333,93.8333,10.41,85,90,1.08,IN,1679894758
162,bambous virieux,-20.3428,57.7575,27.34,78,75,3.09,MU,1679894758
163,nouadhibou,20.931,-17.0347,21.99,64,4,5.14,MR,1679894759
164,belene,43.65,25.1167,9.4,62,100,3.26,BG,1679894759
165,mitsamiouli,-11.3847,43.2844,27.84,77,83,3.49,KM,1679894760
166,tautira,-17.7333,-149.15,27.43,73,95,3.92,PF,1679894760
167,kavieng,-2.5744,150.7967,29.78,61,10,4.9,PG,1679894592
168,iqaluit,63.7506,-68.5145,-13.15,85,100,0.0,CA,1679894761
169,turukhansk,65.8167,87.9833,-2.16,97,100,4.65,RU,1679894761
170,qaqortoq,60.7167,-46.0333,-3.9,77,100,2.33,GL,1679894762
171,chicla,-11.705,-76.2686,5.82,90,100,2.84,PE,1679894762
172,virginia beach,36.8529,-75.978,12.24,95,40,0.0,US,1679894565
173,casino,-28.8667,153.05,26.98,53,54,1.6,AU,1679894763
174,bilibino,68.0546,166.4372,-16.82,90,100,4.38,RU,1679894764
175,phalombe,-15.8064,35.6507,20.15,90,13,0.35,MW,1679894764
176,san cristobal,7.7669,-72.225,18.1,70,98,0.98,VE,1679894764
177,asahikawa,43.7678,142.3703,1.56,86,75,6.17,JP,1679894765
178,cabedelo,-6.9811,-34.8339,24.37,78,24,3.94,BR,1679894765
179,jamestown,42.097,-79.2353,2.8,79,100,0.0,US,1679894766
180,vilhena,-12.7406,-60.1458,19.91,97,98,1.28,BR,1679894630
181,nueve de julio,-35.4444,-60.8831,10.54,83,0,3.32,AR,1679894617
182,garachine,8.0647,-78.3628,25.14,90,19,3.56,PA,1679894767
183,isangel,-19.55,169.2667,27.85,82,20,5.35,VU,1679894767
184,constitucion,-35.3333,-72.4167,11.74,82,0,1.94,CL,1679894768
185,leningradskiy,69.3833,178.4167,-15.49,81,100,2.41,RU,1679894768
186,saumur,47.3333,-0.25,6.61,91,95,2.18,FR,1679894769
187,corpus christi,27.8006,-97.3964,23.32,94,100,3.09,US,1679894763
188,whitehorse,60.7161,-135.0538,-6.57,45,75,1.54,CA,1679894507
189,dikson,73.5069,80.5464,-26.02,99,100,1.9,RU,1679894770
190,saint-philippe,-21.3585,55.7679,27.77,69,37,4.0,RE,1679894770
191,karratha,-20.7377,116.8463,31.05,59,99,4.56,AU,1679894770
192,rio cuarto,-33.1307,-64.3499,18.04,82,0,6.69,AR,1679894558
193,grindavik,63.8424,-22.4338,-3.74,68,75,5.14,IS,1679894771
194,seoul,37.5683,126.9778,14.66,26,0,4.12,KR,1679894628
